sku,price,memberships,productClass,taxClass,enabled,weight,shippable,images,imagesAlt,arrivalDate,date,updateDate,categories,inventoryTrackingEnabled,stockLevel,lowLimitEnabled,lowLimitLevel,cleanURL,useSeparateBox,boxWidth,boxLength,boxHeight,itemsPerBox,metaDescType,name_en,description_en,briefDescription_en,metaTags_en,metaDesc_en,metaTitle_en,Size (field:product),Style (field:product),Embroidery (field:product),Color (field:product),Lost Car Logo On Sleeve (Free) (field:product),Quantity (field:product),Sleeve Length (field:product),Neck Size (field:product),Display type (field:class >>> Display),Graphic (field:class >>> Specifications),"Storage, GB (field:class >>> Specifications)","Memory, GB (field:class >>> Specifications)",CPU (field:class >>> Specifications),LTE (field:class >>> Cellular and Wireless),GLONASS (field:class >>> Cellular and Wireless),GPS (field:class >>> Cellular and Wireless),"Dimension, inches (field:class >>> Display)",Resolution (field:class >>> Display),"Weight, kg (field:class >>> Size and Weight)","Depth, inches (field:class >>> Size and Weight)","Width, inches (field:class >>> Size and Weight)","Height, inches (field:class >>> Size and Weight)",Battery type (field:class >>> Battery),Bluetooth (field:class >>> Cellular and Wireless),Wi-Fi (field:class >>> Cellular and Wireless),CDMA model (field:class >>> Cellular and Wireless),"Height, inches (field:class >>> Size & weight)_en",Standby time (field:class >>> Power and Battery)_en,Talk time (field:class >>> Power and Battery)_en,Battery type (field:class >>> Power and Battery),"Capacity, GB (field:class)",Sleeve (field:class),"Width, inches (field:class >>> Size & weight)_en","Depth, inches (field:class >>> Size & weight)_en",GSM model (field:class >>> Cellular and Wireless),Color (field:class),SIM card (field:class),Audio playback (field:class >>> Power and Battery)_en,Video playback (field:class >>> Power and Battery)_en,Chip (field:class),"Weight, grams (field:class >>> Size & weight)_en",Size (field:class),Size (field:global),openGraphMeta,useCustomOpenGraphMeta,sale,freeShipping,freightFixedFee,variantSKU,variantPrice,variantQuantity,variantWeight,variantImage,variantImageAlt,relatedProducts,!GENERATE_THUMBNAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!GENERATE_THUMBNAIL
111-002,105,,,,Yes,2,Yes,images/product/bryden_1.jpeg&&images/product/IMG_0358_1_1_1.jpeg&&images/product/IMG_7525.jpg,,"Mon, 23 Mar 2015 17:23:33 +0000","Fri, 27 Mar 2015 16:59:10 +0000","Tue, 28 Feb 2017 21:01:47 +0000",Men's Chef Coats,Yes,0,Yes,5,bryden.html,No,0,0,0,1,A,Bryden,"<p>Lightweight black denim<br />97% cotton 3% spandex<br />Double-breasted<br />Black and grey striped roll-up cuffs<br />No-fuss magnetic back apron loop<br />Inset double chest pocket<br />Spread collar<br />12 buttons<br />Contrast fabric around collar<br />Longer, curved hemline<br />Available in sizes XS-4XL</p>","<p>Lightweight black denim<br />97% cotton 3% spandex<br />Double-breasted<br />Black and grey striped roll-up cuffs<br />No-fuss magnetic back apron loop<br />Inset double chest pocket<br />Spread collar<br />12 buttons<br />Contrast fabric around collar<br />Longer, curved hemline<br />Available in sizes XS-4XL</p>
<p><a id=""size_chart"" class=""regular-main-button"" href=""#chart_info"">Size Chart</a></p>
<p><a href=""/images/filemanager/uploads/thread%20colors%201.jpg"">Embroidery Thread Colors</a></p>
<p><a href=""/images/filemanager/uploads/font%20list%20final.jpg"">Font List</a></p>
<div id=""chart_info"" style=""width:800px;display:none;""><img src=""/images/DenimGrey-Male.jpg"" alt=""Chart"" /></div>",,"Lightweight black denim97% cotton 3% spandexDouble-breastedBlack and grey striped roll-up cuffsNo-fuss magnetic back apron loopInset double chest pocketSpread collar12 buttonsContrast fabric around collarLonger, curved hemlineAvailable in sizes XS-4XL
Size Chart
",,XS,,Yes&&No=default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,0,,,23,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,22,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,21,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-008,95,,,,Yes,1,Yes,images/product/chuck1_1.jpeg&&images/product/chuck2_1.jpeg&&images/product/chuck3_1.jpeg&&images/product/chuck4_1.jpeg,,"Thu, 02 Apr 2015 17:16:12 +0000","Wed, 08 Apr 2015 23:28:24 +0000","Tue, 14 Mar 2017 00:16:12 +0000",Men's Chef Coats,Yes,1000,No,10,chuck-denim.html,No,0,0,0,1,A,Chuck,,"<p><span style=""font-family:arial, helvetica, sans-serif;"">An OG on all levels. We know what you're thinking---""Denim?? For a chef coat??"" You think those jeans look good on you, right? Well, just try the Chuck. He makes anyone look like a BOSS. Go on, get it...you're guaranteed to fall in love with your new favorite coat.</span></p>
<ul><li><span style=""font-family:arial, helvetica, sans-serif;"">Lightweight dark blue Japanese denim</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">97% cotton 3% spandex</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Double-breasted</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">No-fuss neodymium magnetic back apron tab</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Inset double chest pocket</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">12 buttons</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Top sititched with a contrasting mellow yellow</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Mandarin collar</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Short-sleeve</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Longer, curved hemline</span></li>
</ul><h3><span style=""font-family:arial, helvetica, sans-serif;color:#008000;"">Use &amp; Care</span></h3>
<ul><li><span style=""font-family:arial, helvetica, sans-serif;"">Machine-wash cold</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Line dry only</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Due to the deep rich pigment dyes of this garment, bleeding will occur.  Pigment dyes will rub off on hands with repeated handling. The dyes may transfer to other fabrics or upholstery. Please exercise care when use of this garment is in contact with light colored surfaces.  This requires to cold water wash the garment/product at least once prior to use.</span></li>
</ul><h3><span style=""font-family:arial, helvetica, sans-serif;color:#008000;"">Dimensions</span></h3>
<ul><li><span style=""font-family:arial, helvetica, sans-serif;"">Available in sizes XS-3XL</span></li>
</ul><p> </p>
<p><a href=""/images/filemanager/uploads/size%20charts/chuck_size_chart.png"" target=""_blank"">Size Chart</a></p>
<p><a href=""/images/filemanager/uploads/thread%20colors%201.jpg"">Embroidery Thread Colors</a></p>
<p><a href=""/images/filemanager/uploads/font%20list%20final.jpg"">Font Li</a><span style=""font-family:arial, helvetica, sans-serif;""><a href=""/images/filemanager/uploads/font%20list%20final.jpg"">st</a></span></p>
<p> </p>
<div id=""chart_info"" style=""width:800px;display:none;""><img src=""/images/DenimGrey-Male.jpg"" alt=""Chart"" /></div>",,"An OG on all levels. We know what you're thinking---""Denim?? For a chef coat??"" You think those jeans look good on you, right? Well, just try the Chuck. He makes anyone look like a BOSS. Go on, get it...you're guaranteed to fall in love with your new favorite coat.
Lightweight dark blue Japanese denim
97% cotton 3% spandex
Double-breasted
No-fuss neodymium magnetic back apron tab
Inset double chest pocket
12 buttons
Top sititched with a contrasting mellow yellow
Mandarin collar
Short-sleeve
Longer, curved hemline
Use &amp; Care
Machine-wash cold
Line dry only
Due to the deep rich pigment dyes of this garment, bleeding will occur.  Pigment dyes will rub off on hands with repeated handling. The dyes may transfer to other fabrics or upholstery. Please exercise care when use of this garment is in contact with light colored surfaces.  This requires to cold water wash the garment/product at least once prior to use.
Dimensions
Available in sizes XS-3XL
 
Size Chart
Embroidery Thread Colors
Font List
 
",,XS,,Yes&&No=default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,0,,,13,,,,111-006&&111-007&&111-009&&111-011&&112359,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
